# Title:January U.S. Tornadoes
# Note: *denotes preliminary data

Date,Tornadoes,Fatalities
195001,7,1
195101,2,0
195201,12,0
195301,14,0
195401,2,0
195501,3,0
195601,2,0
195701,16,13
195801,11,0
195901,16,3
196001,9,0
196101,1,0
196201,12,1
196301,15,1
196401,14,10
196501,21,0
196601,1,0
196701,40,7
196801,5,0
196901,3,32
197001,9,0
197101,17,1
197201,33,5
197301,33,1
197401,23,2
197501,52,12
197601,12,0
197701,5,0
197801,23,2
197901,16,0
198001,5,0
198101,2,0
198201,18,1
198301,13,2
198401,1,0
198501,2,0
198601,0,0
198701,6,0
198801,17,5
198901,15,0
199001,11,0
199101,29,1
199201,15,0
199301,17,0
199401,13,0
199501,36,2
199601,35,1
199701,50,2
199801,47,0
199901,214,18
200001,16,0
200101,5,0
200201,3,0
200301,0,0
200401,2,0
200501,32,4
200601,47,1
200701,21,2
200801,84,7
200901,6,0
201001,30,0
201101,16,0
201201,79,2
201301,75,1
201401,4,0
201501,28,0
201601,17,2
201701,137,20
201801,15,0
201901,22,0
202001,87,7
202101,16,1
202201,37,0
202301,130,8
202401,45,2
202501,20*,0
202601,23*,0
