Date,Time,Latitude,Longitude,Max Winds (kt),SS  HWS,RMW nm,Central Pressure (mb),States Affected,Storm Names,States Affected Names,SS HWS max,Central Pressure (mb) min,States Affected Names All
1851-06-25 00:00:00,2100Z,28.2N,96.8W,80,1,---,974,BTX1,---------------,Texas,4,927.0,Texas
1851-08-23 00:00:00,2100Z,30.1N,85.7W,100,3,---,950,"AFL3,IGA1","""Great Middle Florida""","Florida, Georgia",3,950.0,"Florida, Georgia"
1852-08-22 00:00:00,1200Z,23.8N,81.1W,90,2,---,970,BFL2,---------------,Florida,4,927.0,Florida
1852-09-12 00:00:00,0000Z,28.0N,82.8W,70,1,---,982,BFL1,---------------,Florida,4,927.0,Florida
1852-10-09 00:00:00,2100Z,29.9N,84.4W,90,2,---,965,"AFL2,IGA1","""Middle Florida""","Florida, Georgia",2,965.0,"Florida, Georgia"
1853-10-21 00:00:00,0600Z,30.9N,80.9W,70,1,---,965,GA1,---------------,Georgia,4,927.0,Georgia
1854-06-26 00:00:00,1200Z,26.2N,97.0W,70,1,---,982,ATX1,---------------,Texas,4,927.0,Texas
1854-09-08 00:00:00,2000Z,31.7N,81.1W,100,3,40,950,"GA3,SC2,DFL1","""Great Carolina""","Florida, South Carolina, Georgia",3,950.0,"Florida, South Carolina, Georgia"
1854-09-18 00:00:00,2100Z,28.9N,95.3W,90,2,---,965,BTX2,"""Matagorda""",Texas,2,965.0,Texas
1855-09-16 00:00:00,0300Z,29.2N,89.5W,110,3,---,945,"LA3,MS3","""Middle Gulf Shore""","Mississippi, Louisiana",3,945.0,"Mississippi, Louisiana"
1856-08-10 00:00:00,1800Z,29.2N,91.1W,130,4,10,934,LA4,"""Last Island""",Louisiana,4,934.0,Louisiana
1856-08-31 00:00:00,0600Z,30.2N,85.9W,90,2,---,965,"AFL2,IAL1,IGA1","""Southeastern States""","Florida, Georgia, Alabama",2,965.0,"Florida, Georgia, Alabama"
1857-09-13 00:00:00,0000Z,33.9N,78.0W,90,2,---,961,NC2,---------------,North Carolina,4,927.0,North Carolina
1858-09-16 00:00:00,1700Z,40.9N,72.2W,80,1,45,976,NY1,"""New England""",New York,1,976.0,"Rhode Island, New York, Massachusetts, Connecticut"
1859-09-16 00:00:00,0000Z,30.3N,88.1W,70,1,---,982,"AL1,AFL1",---------------,"Alabama, Florida",4,927.0,"Alabama, Florida"
1859-10-28 00:00:00,1800Z,27.7N,82.8W,80,1,---,974,"BFL2,CFL1",---------------,Florida,4,927.0,Florida
1860-08-11 00:00:00,2000Z,29.2N,90.0W,110,3,---,945,"LA3,MS3,AL2",---------------,"Mississippi, Louisiana, Alabama",4,927.0,"Mississippi, Louisiana, Alabama"
1860-09-15 00:00:00,0400Z,29.3N,89.6W,90,2,---,965,"LA2,MS2,AL1",---------------,"Mississippi, Louisiana, Alabama",4,927.0,"Mississippi, Louisiana, Alabama"
1860-10-02 00:00:00,1700Z,29.5N,91.4W,90,2,---,965,LA2,---------------,Louisiana,4,927.0,Louisiana
1861-08-16 00:00:00,0000Z,24.2N,82.0W,70,1,---,978,BFL1,"""Key West""",Florida,1,978.0,Florida
1861-09-27 00:00:00,1700Z,34.5N,77.4W,70,1,---,985,NC1,"""Equinoctial""",North Carolina,1,985.0,North Carolina
1861-11-02 00:00:00,1000Z,34.7N,76.6W,70,1,---,985,NC1,"""Expedition""",North Carolina,1,985.0,North Carolina
1865-09-13 00:00:00,2100Z,29.8N,93.4W,90,2,---,965,"LA2,CTX1","""Sabine River""","Louisiana, Texas",2,965.0,"Louisiana, Texas"
1865-10-23 00:00:00,1000Z,24.6N,81.7W,90,2,---,969,BFL2,---------------,Florida,4,927.0,Florida
1866-07-15 00:00:00,1200Z,28.5N,96.5W,90,2,---,965,BTX2,---------------,Texas,4,927.0,Texas
1867-06-22 00:00:00,1400Z,32.9N,79.7W,70,1,---,985,SC1,---------------,South Carolina,4,927.0,South Carolina
1867-10-02 00:00:00,1500Z,25.4N,97.1W,70,1,---,969,ATX1,"""Galveston""",Texas,4,936.0,Texas
1869-08-17 00:00:00,0700Z,28.1N,96.8W,90,2,---,965,BTX2,"""Lower Texas Coast""",Texas,2,965.0,Texas
1869-09-05 00:00:00,1200Z,29.2N,90.0W,70,1,---,982,LA1,---------------,Louisiana,4,927.0,"Louisiana, New York"
1869-10-04 00:00:00,1900Z,41.3N,70.5W,80,1,30,965,MA1,"""Saxby's Gale""",Massachusetts,2,965.0,"Maine, Massachusetts"
1870-07-30 00:00:00,1800Z,30.5N,88.0W,70,1,---,982,AL1,"""Mobile""",Alabama,1,982.0,Alabama
1870-10-10 00:00:00,0500Z,24.6N,80.8W,70,1,---,970,"BFL1,CFL1","""Twin Key West (I)""",Florida,1,970.0,Florida
1870-10-20 00:00:00,1400Z,24.7N,82.8W,80,1,---,977,BFL1,"""Twin Key West (II)""",Florida,1,977.0,Florida
1871-08-17 00:00:00,0200Z,27.1N,80.2W,100,3,30,955,"CFL3,DFL1,AFL1",---------------,Florida,4,927.0,Florida
1871-08-25 00:00:00,0500Z,27.6N,80.3W,90,2,---,965,"CFL2,DFL1",---------------,Florida,4,927.0,Florida
1871-09-06 00:00:00,1400Z,29.2N,83.0W,70,1,---,982,"AFL1,BFL1",---------------,Florida,4,927.0,Florida
1873-09-19 00:00:00,1500Z,29.9N,84.4W,70,1,---,982,AFL1,---------------,Florida,4,927.0,Florida
1873-10-07 00:00:00,0100Z,26.5N,82.2W,100,3,25,959,"BFL3,CFL2,DFL1",---------------,Florida,4,927.0,Florida
1874-09-28 00:00:00,0300Z,29.1N,82.9W,70,1,---,982,AFL1,---------------,Florida,4,927.0,"North Carolina, Florida, South Carolina"
1875-09-16 00:00:00,2100Z,27.7N,97.2W,100,3,---,955,"BTX3,ATX2",---------------,Texas,4,927.0,Texas
1876-09-17 00:00:00,1400Z,34.4N,77.6W,80,1,---,980,"NC1,VA1",---------------,"North Carolina, Virginia",4,927.0,"North Carolina, Virginia"
1876-10-20 00:00:00,0500Z,25.8N,81.4W,90,2,---,973,"BFL2,CFL1",---------------,Florida,4,927.0,Florida
1877-09-18 00:00:00,1600Z,29.2N,91.0W,70,1,---,982,LA1,---------------,Louisiana,4,927.0,Louisiana
1877-10-03 00:00:00,0500Z,30.0N,85.5W,100,3,---,955,"AFL3,IGA1",---------------,"Florida, Georgia",4,927.0,"Florida, Georgia"
1878-09-10 00:00:00,1100Z,28.6N,82.6W,90,2,---,970,"AFL2,BFL2,DFL1",---------------,Florida,4,927.0,Florida
1878-10-23 00:00:00,0400Z,34.8N,77.1W,90,2,---,963,"NC2,VA1,MD1,DE1, NJ1,IPA1",---------------,"Pennsylvania, North Carolina, Virginia, Maryland, Delaware, New Jersey",4,927.0,"Pennsylvania, North Carolina, Virginia, Maryland, Delaware, New Jersey"
1879-08-18 00:00:00,1200Z,34.5N,76.8W,100,3,15,971,"NC3,VA2",---------------,"North Carolina, Virginia",4,927.0,"North Carolina, Virginia"
1879-09-01 00:00:00,1600Z,29.5N,91.4W,110,3,,945,LA3,---------------,Louisiana,4,927.0,Louisiana
1880-08-13 00:00:00,0100Z,25.8N,97.0W,110,3,10,931,ATX3,---------------,Texas,4,927.0,Texas
1880-08-29 00:00:00,1200Z,28.2N,80.6W,90,2,---,972,"CFL2,DFL1",---------------,Florida,4,927.0,Florida
1880-09-09 00:00:00,1000Z,34.7N,77.1W,70,1,---,987,NC1,---------------,North Carolina,4,927.0,North Carolina
1880-10-08 00:00:00,1900Z,28.9N,82.7W,70,1,---,982,AFL1,---------------,Florida,4,927.0,Florida
1881-08-28 00:00:00,0200Z,31.7N,81.1W,90,2,15,970,"GA2,SC1",---------------,"South Carolina, Georgia",4,927.0,"South Carolina, Georgia"
1881-09-09 00:00:00,1600Z,33.9N,78.1W,90,2,15,975,NC2,---------------,North Carolina,4,927.0,North Carolina
1882-09-10 00:00:00,0200Z,30.4N,86.8W,110,3,---,949,"AFL3,IAL1",---------------,"Florida, Alabama",4,927.0,"Florida, Alabama"
1882-10-11 00:00:00,0400Z,29.5N,83.3W,70,1,---,985,AFL1,---------------,Florida,4,927.0,Florida
1883-09-11 00:00:00,1300Z,33.9N,78.5W,90,2,---,965,"NC2,SC1",---------------,"North Carolina, South Carolina",4,927.0,"North Carolina, South Carolina"
1885-08-25 00:00:00,1200Z,32.6N,80.1W,90,2,---,970,"SC2,NC1,GA1,DFL1",---------------,"North Carolina, Florida, South Carolina, Georgia",4,927.0,"North Carolina, Florida, South Carolina, Georgia"
1886-06-14 00:00:00,1600Z,29.6N,94.2W,85,2,---,970,"CTX2,LA2",---------------,"Louisiana, Texas",4,927.0,"Louisiana, Texas"
1886-06-21 00:00:00,1100Z,30.1N,84.0W,85,2,---,970,"AFL2,IGA1",---------------,"Florida, Georgia",4,927.0,"Florida, Georgia"
1886-06-30 00:00:00,2100Z,29.7N,85.2W,85,2,---,970,"AFL2,IGA1",---------------,"Florida, Georgia",4,927.0,"Florida, Georgia"
1886-07-19 00:00:00,0100Z,28.8N,82.7W,70,1,---,982,AFL1,---------------,Florida,4,927.0,Florida
1886-08-20 00:00:00,1300Z,28.1N,96.8W,130,4,15,925,BTX4,"""Indianola""",Texas,4,925.0,Texas
1886-09-23 00:00:00,0700Z,26.0N,97.2W,80,1,---,973,"ATX1,BTX1",---------------,Texas,4,927.0,Texas
1886-10-12 00:00:00,2200Z,29.8N,93.5W,105,3,---,950,"LA3,CTX2",---------------,"Louisiana, Texas",4,927.0,"Louisiana, Texas"
1887-07-27 00:00:00,1500Z,30.4N,86.6W,75,1,---,978,"AFL1,IAL1",---------------,"Florida, Alabama",4,927.0,"Florida, Alabama"
1887-08-20 00:00:00,1200Z,35.0N,75.0W,65,1,---,946,NC1,---------------,North Carolina,4,927.0,North Carolina
1887-09-21 00:00:00,1700Z,26.1N,97.2W,75,1,40,973,ATX2,---------------,Texas,4,927.0,Texas
1887-10-19 00:00:00,0200Z,29.1N,90.4W,75,1,---,978,LA1,---------------,Louisiana,4,927.0,Louisiana
1888-06-17 00:00:00,0600Z,28.7N,95.7W,70,1,---,982,BTX1,---------------,Texas,4,927.0,Texas
1888-08-16 00:00:00,1900Z,25.8N,80.1W,110,3,---,945,"CFL3,BFL1",---------------,Florida,4,927.0,Florida
1888-10-11 00:00:00,0100Z,29.2N,83.1W,95,2,10,970,"AFL2,DFL1",---------------,Florida,4,927.0,Florida
