EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
60861,GALVESTON (ZONE), ,09/12/2007,2200,Hurricane (Typhoon), , ,0,0,2500000,0,TX,CST-6, ,10875,Z,238,HGX,0,0,NWS Storm Survey, , , , , , , , ,09/13/2007,200, , , , ,"Hurricane Humberto affected 170 homes. Five single family homes were completely destroyed, twenty-two received major damage, and forty-nine only minor damage. ||Several High Island homes had roof and shingle damage, a gas station awning collapsed, and a local motel received moderate roof damage. High Island High School received light pole and sign damage. There were widespread uprooted trees and snapped limbs. Within town, larger trees were snapped off at the trunk. ||Numerous power poles were either completely blown down, or pushed over, along Highway 87 towards Canal City and Gilchrist.","Humberto was a Category 1 hurricane when it made landfall just to the east of High Island early in the morning on September 13th. Wind damage which occurred late on the 12th and early on the 13th was confined to the High Island area of Galveston County and far eastern Chambers County.||Humberto is notable for its exceptional rapid intensification off the Texas coast from a tropical depression into a hurricane within nineteen hours. Maximum rainfall totals from Humberto ranged from around two inches to over fourteen inches mainly along and east of a line from Freeport to the Hitchcock and Texas City area to around Winnie. ||The majority of the damage from Humberto was due to high winds and fresh water flooding that caused minor structural damage along with knocking down trees and power lines. There were no injuries or deaths from Humberto in the Houston-Galveston area.",1
60862,CHAMBERS (ZONE), ,09/12/2007,2200,Hurricane (Typhoon), , ,0,0,500000,0,TX,CST-6, ,10875,Z,214,HGX,0,0,NWS Storm Survey, , , , , , , , ,09/13/2007,245, , , , ,"Minor structural and roof damage were noted in the communities of Winnie and Stowell. Damage to private property was one structure destroyed, two with major damage, and three with minor damage. Overall, twenty-two structures were affected.  Newspapers reported metal roof damage to the community center building. The majority of the damage in the area were uprooted trees and broken limbs. Snapped power poles were witnessed about eight miles west of Stowell, or east of the Anahuac National Wildlife Refuge, along Highway 124. Power pole damage was also noted on southbound Highway 124 towards High Island.","Humberto was a Category 1 hurricane when it made landfall just to the east of High Island early in the morning on September 13th. Wind damage which occurred late on the 12th and early on the 13th was confined to the High Island area of Galveston County and far eastern Chambers County.||Humberto is notable for its exceptional rapid intensification off the Texas coast from a tropical depression into a hurricane within nineteen hours. Maximum rainfall totals from Humberto ranged from around two inches to over fourteen inches mainly along and east of a line from Freeport to the Hitchcock and Texas City area to around Winnie. ||The majority of the damage from Humberto was due to high winds and fresh water flooding that caused minor structural damage along with knocking down trees and power lines. There were no injuries or deaths from Humberto in the Houston-Galveston area.",2
60388,JEFFERSON (ZONE), ,09/13/2007,100,Hurricane (Typhoon), , ,0,12,25000000,0,TX,CST-6, ,10942,Z,215,LCH,0,0,NWS Storm Survey, , , , , , , , ,09/13/2007,400, , , , ,"Hurricane Humberto made landfall around 1 am in rural southwestern Jefferson County, in McFaddin National Wildlife Refuge. The minimum pressure was estimated to be around 985 mb. While maximum winds were estimated to be 80 knots or 90 mph, hurricane-force winds were confined to a 15 mile wide area. Cities that saw the highest winds of 60 to 80 mph include Port Arthur, Sabine Pass, and Nederland. Damage was primarily trees blown down, roof damage, and power lines downed. At least 12 injuries were reported, due to snake bites, cuts and bruises, and a few broken bones. Power outages occurred to over 100,000 customers. Most urban locations had power back up within a few days, but some rural locations saw power out for up to a week. Maximum storm tides were 4.87 ft MLLW at Texas Point and 4.07 ft MLLW at Sabine Pass North. This resulted in minor beach erosion.","Hurricane Humberto made landfall as a strong category one hurricane in rural southwestern Jefferson County early in the morning on September 13th, over McFaddin National Wildlife Refuge. Storm total rainfall ranged from one inch in southern Jasper and Newton Counties, to almost 11 inches near McFaddin Wildlife Refuge. Some flash flooding occurred in the urban areas between beaumont and Orange. Highest estimated winds were around 80 knots or 90 mph, but hurricane-force wind only extended 15 miles. Damage was primarily trees blown down, roof damage, and power lines downed. The lowest pressure reading was estimated to be 985 mb at landfall. Coastal storm tides were 3 to 5 feet, with the highest occurring at Texas Point.  One fatality was attributed to the hurricane. An 80 year old man in Bridge City (Orange County, TX) ventured outside to check his property and was killed instantly when his carport collapsed on him.",3
60389,ORANGE (ZONE), ,09/13/2007,315,Hurricane (Typhoon), , ,1,0,10000000,0,TX,CST-6, ,10942,Z,216,LCH,0,0,NWS Storm Survey, , , , , , , , ,09/13/2007,600, , , , ,"Hurricane Humberto moved into Orange County around 3:15 am between Vidor and Bridge City. Hurricane force winds were confined to a 15 mile wide area. Cities that saw the highest winds of 50 to 70 mph include Vidor, Bridge City, and Mauriceville. Damage was primarily trees blown down, roof damage, and power lines downed. One fatality occurred in Bridge City where an 80 year old man went outside to check on his property, and a carport fell on him. Power outages occurred to over 20,000 customers. Most urban locations had power back up within a few days, but some rural locations saw power out for up to a week.","Hurricane Humberto made landfall as a strong category one hurricane in rural southwestern Jefferson County early in the morning on September 13th, over McFaddin National Wildlife Refuge. Storm total rainfall ranged from one inch in southern Jasper and Newton Counties, to almost 11 inches near McFaddin Wildlife Refuge. Some flash flooding occurred in the urban areas between beaumont and Orange. Highest estimated winds were around 80 knots or 90 mph, but hurricane-force wind only extended 15 miles. Damage was primarily trees blown down, roof damage, and power lines downed. The lowest pressure reading was estimated to be 985 mb at landfall. Coastal storm tides were 3 to 5 feet, with the highest occurring at Texas Point.  One fatality was attributed to the hurricane. An 80 year old man in Bridge City (Orange County, TX) ventured outside to check his property and was killed instantly when his carport collapsed on him.",4
60390,CALCASIEU (ZONE), ,09/13/2007,600,Hurricane (Typhoon), , ,0,0,200000,0,LA,CST-6, ,10944,Z,41,LCH,0,0,NWS Storm Survey, , , , , , , , ,09/13/2007,700, , , , ,"Hurricane Humberto moved into extreme northwestern Calcasieu Parish around 6 am. Hurricane force winds were confined to less than a 15 mile wide area. Damage was primarily trees blown down, roof damage, and power lines downed, north of the Vinton area. Power outages occurred to less than 5,000 customers. Most of the power was restored in 24 hours.","Hurricane Humberto made landfall in southeast Texas, and moved into southwest Louisiana the morning of 9/13/07. Humberto was weakening to a tropical storm as it moved northeast across southwest Louisiana. Minor wind damage such as trees and power lines downed was observed in western Calcasieu, western Cameron, Beauregard, Allen, Vernon, and Rapides Parishes. An isolated tornado in an outer rainband occurred in Vermilion Parish, damaging one home, but producing no injuries. Rain totals of 5 to 7 inches were recorded in parts of Beauregard and Vernon Parishes, with amounts of 3 to 5 inches common elsewhere.",5
60393,BEAUREGARD (ZONE), ,09/13/2007,600,Hurricane (Typhoon), , ,0,0,200000,0,LA,CST-6, ,10944,Z,30,LCH,0,0,NWS Storm Survey, , , , , , , , ,09/13/2007,700, , , , ,"Hurricane Humberto moved over extreme southwestern Beauregard Parish around 6 am. Hurricane force winds were confined to less than a 15 mile wide area. Damage was primarily trees blown down, roof damage, and power lines downed, near the Fields area. Power outages occurred to less than 5,000 customers. Most of the power was restored in 24 hours.","Hurricane Humberto made landfall in southeast Texas, and moved into southwest Louisiana the morning of 9/13/07. Humberto was weakening to a tropical storm as it moved northeast across southwest Louisiana. Minor wind damage such as trees and power lines downed was observed in western Calcasieu, western Cameron, Beauregard, Allen, Vernon, and Rapides Parishes. An isolated tornado in an outer rainband occurred in Vermilion Parish, damaging one home, but producing no injuries. Rain totals of 5 to 7 inches were recorded in parts of Beauregard and Vernon Parishes, with amounts of 3 to 5 inches common elsewhere.",6
61462,MONROE (ZONE), ,09/14/2007,0,Hurricane (Typhoon), , ,0,0,0,0,GA,EST-5, ,11188,Z,71,FFC,0,0,Official NWS Observations, , , , , , , , ,09/14/2007,2000, , , , ,"Hurricane Humberto was the only hurricane to strike the U.S. coastline during the 2007 hurricane season.  The hurricane, which rapidly strenghted from a tropical storm off the upper Texas coast late on the 12th, moved inland near the Texas-Louisiana border early on the 13th.  The remnants of Hurricane Humberto then tracked across central Louisiana, central Mississippi, and into northern Alabama on the 14th.  The center of the remnant of the track moved across extreme northwest Georgia, Dade and Walker county, on the 14th.  With north Georgia being located within the favorable right quadrant of the track, much needed rainfall fell across north central and northwest parts of the state, mainly northwest of a Rome to Gainesville line.  Rainfall amounts of two to three inches were common within this area, with isolated five to six  inch rainfall amounts in parts of Whitfield and Murray counties.  Further south, rainfall amounts were generally one inch or less.  However, afternoon heating combined with the final feeder band associated with Humberto to bring a line of heavy showers and thunderstorms to north Georgia during the afternoon.  A few trees were blown down and there were a couple of reports of hail.  However, no significant damage was reported within Georgia as a result of the remnants of Humberto.","Hurricane Humberto was the only hurricane to strike the U.S. coastline during the 2007 hurricane season.  The hurricane, which rapidly strenghted from a tropical storm off the upper Texas coast late on the 12th, moved inland near the Texas-Louisiana border early on the 13th.  The remnants of Hurricane Humberto then tracked across central Louisiana, central Mississippi, and into northern Alabama on the 14th.  The center of the remnant of the track moved across extreme northwest Georgia, Dade and Walker county, on the 14th.  With north Georgia being located within the favorable right quadrant of the track, much needed rainfall fell across north central and northwest parts of the state, mainly northwest of a Rome to Gainesville line.  Rainfall amounts of two to three inches were common within this area, with isolated five to six  inch rainfall amounts in parts of Whitfield and Murray counties.  Further south, rainfall amounts were generally one inch or less.  However, afternoon heating combined with the final feeder band associated with Humberto to bring a line of heavy showers and thunderstorms to north Georgia during the afternoon.  A few trees were blown down and there were a couple of reports of hail.  However, no significant damage was reported within Georgia as a result of the remnants of Humberto.",7
61436,DAWSON (ZONE), ,09/14/2007,0,Hurricane (Typhoon), , ,0,0,0,0,GA,EST-5, ,11188,Z,14,FFC,0,0,Official NWS Observations, , , , , , , , ,09/14/2007,2000, , , , ,"Hurricane Humberto was the only hurricane to strike the U.S. coastline during the 2007 hurricane season.  The hurricane, which rapidly strenghted from a tropical storm off the upper Texas coast late on the 12th, moved inland near the Texas-Louisiana border early on the 13th.  The remnants of Hurricane Humberto then tracked across central Louisiana, central Mississippi, and into northern Alabama on the 14th.  The center of the remnant of the track moved across extreme northwest Georgia, Dade and Walker county, on the 14th.  With north Georgia being located within the favorable right quadrant of the track, much needed rainfall fell across north central and northwest parts of the state, mainly northwest of a Rome to Gainesville line.  Rainfall amounts of two to three inches were common within this area, with isolated five to six  inch rainfall amounts in parts of Whitfield and Murray counties.  Further south, rainfall amounts were generally one inch or less.  However, afternoon heating combined with the final feeder band associated with Humberto to bring a line of heavy showers and thunderstorms to north Georgia during the afternoon.  A few trees were blown down and there were a couple of reports of hail.  However, no significant damage was reported within Georgia as a result of the remnants of Humberto.","Hurricane Humberto was the only hurricane to strike the U.S. coastline during the 2007 hurricane season.  The hurricane, which rapidly strenghted from a tropical storm off the upper Texas coast late on the 12th, moved inland near the Texas-Louisiana border early on the 13th.  The remnants of Hurricane Humberto then tracked across central Louisiana, central Mississippi, and into northern Alabama on the 14th.  The center of the remnant of the track moved across extreme northwest Georgia, Dade and Walker county, on the 14th.  With north Georgia being located within the favorable right quadrant of the track, much needed rainfall fell across north central and northwest parts of the state, mainly northwest of a Rome to Gainesville line.  Rainfall amounts of two to three inches were common within this area, with isolated five to six  inch rainfall amounts in parts of Whitfield and Murray counties.  Further south, rainfall amounts were generally one inch or less.  However, afternoon heating combined with the final feeder band associated with Humberto to bring a line of heavy showers and thunderstorms to north Georgia during the afternoon.  A few trees were blown down and there were a couple of reports of hail.  However, no significant damage was reported within Georgia as a result of the remnants of Humberto.",8
61453,HALL (ZONE), ,09/14/2007,0,Hurricane (Typhoon), , ,0,0,0,0,GA,EST-5, ,11188,Z,23,FFC,0,0,Official NWS Observations, , , , , , , , ,09/14/2007,2000, , , , ,"Hurricane Humberto was the only hurricane to strike the U.S. coastline during the 2007 hurricane season.  The hurricane, which rapidly strenghted from a tropical storm off the upper Texas coast late on the 12th, moved inland near the Texas-Louisiana border early on the 13th.  The remnants of Hurricane Humberto then tracked across central Louisiana, central Mississippi, and into northern Alabama on the 14th.  The center of the remnant of the track moved across extreme northwest Georgia, Dade and Walker county, on the 14th.  With north Georgia being located within the favorable right quadrant of the track, much needed rainfall fell across north central and northwest parts of the state, mainly northwest of a Rome to Gainesville line.  Rainfall amounts of two to three inches were common within this area, with isolated five to six  inch rainfall amounts in parts of Whitfield and Murray counties.  Further south, rainfall amounts were generally one inch or less.  However, afternoon heating combined with the final feeder band associated with Humberto to bring a line of heavy showers and thunderstorms to north Georgia during the afternoon.  A few trees were blown down and there were a couple of reports of hail.  However, no significant damage was reported within Georgia as a result of the remnants of Humberto.","Hurricane Humberto was the only hurricane to strike the U.S. coastline during the 2007 hurricane season.  The hurricane, which rapidly strenghted from a tropical storm off the upper Texas coast late on the 12th, moved inland near the Texas-Louisiana border early on the 13th.  The remnants of Hurricane Humberto then tracked across central Louisiana, central Mississippi, and into northern Alabama on the 14th.  The center of the remnant of the track moved across extreme northwest Georgia, Dade and Walker county, on the 14th.  With north Georgia being located within the favorable right quadrant of the track, much needed rainfall fell across north central and northwest parts of the state, mainly northwest of a Rome to Gainesville line.  Rainfall amounts of two to three inches were common within this area, with isolated five to six  inch rainfall amounts in parts of Whitfield and Murray counties.  Further south, rainfall amounts were generally one inch or less.  However, afternoon heating combined with the final feeder band associated with Humberto to bring a line of heavy showers and thunderstorms to north Georgia during the afternoon.  A few trees were blown down and there were a couple of reports of hail.  However, no significant damage was reported within Georgia as a result of the remnants of Humberto.",9
61444,COWETA (ZONE), ,09/14/2007,0,Hurricane (Typhoon), , ,0,0,0,0,GA,EST-5, ,11188,Z,53,FFC,0,0,Official NWS Observations, , , , , , , , ,09/14/2007,2000, , , , ,"Hurricane Humberto was the only hurricane to strike the U.S. coastline during the 2007 hurricane season.  The hurricane, which rapidly strenghted from a tropical storm off the upper Texas coast late on the 12th, moved inland near the Texas-Louisiana border early on the 13th.  The remnants of Hurricane Humberto then tracked across central Louisiana, central Mississippi, and into northern Alabama on the 14th.  The center of the remnant of the track moved across extreme northwest Georgia, Dade and Walker county, on the 14th.  With north Georgia being located within the favorable right quadrant of the track, much needed rainfall fell across north central and northwest parts of the state, mainly northwest of a Rome to Gainesville line.  Rainfall amounts of two to three inches were common within this area, with isolated five to six  inch rainfall amounts in parts of Whitfield and Murray counties.  Further south, rainfall amounts were generally one inch or less.  However, afternoon heating combined with the final feeder band associated with Humberto to bring a line of heavy showers and thunderstorms to north Georgia during the afternoon.  A few trees were blown down and there were a couple of reports of hail.  However, no significant damage was reported within Georgia as a result of the remnants of Humberto.","Hurricane Humberto was the only hurricane to strike the U.S. coastline during the 2007 hurricane season.  The hurricane, which rapidly strenghted from a tropical storm off the upper Texas coast late on the 12th, moved inland near the Texas-Louisiana border early on the 13th.  The remnants of Hurricane Humberto then tracked across central Louisiana, central Mississippi, and into northern Alabama on the 14th.  The center of the remnant of the track moved across extreme northwest Georgia, Dade and Walker county, on the 14th.  With north Georgia being located within the favorable right quadrant of the track, much needed rainfall fell across north central and northwest parts of the state, mainly northwest of a Rome to Gainesville line.  Rainfall amounts of two to three inches were common within this area, with isolated five to six  inch rainfall amounts in parts of Whitfield and Murray counties.  Further south, rainfall amounts were generally one inch or less.  However, afternoon heating combined with the final feeder band associated with Humberto to bring a line of heavy showers and thunderstorms to north Georgia during the afternoon.  A few trees were blown down and there were a couple of reports of hail.  However, no significant damage was reported within Georgia as a result of the remnants of Humberto.",10
